model,condition,task_id,task_pass_rate
claude-3-haiku-20240307,caution,HumanEval/0,1.0
claude-3-haiku-20240307,caution,HumanEval/1,1.0
claude-3-haiku-20240307,caution,HumanEval/10,0.0
claude-3-haiku-20240307,caution,HumanEval/100,0.1
claude-3-haiku-20240307,caution,HumanEval/101,0.4
claude-3-haiku-20240307,caution,HumanEval/102,0.3
claude-3-haiku-20240307,caution,HumanEval/103,1.0
claude-3-haiku-20240307,caution,HumanEval/104,1.0
claude-3-haiku-20240307,caution,HumanEval/105,1.0
claude-3-haiku-20240307,caution,HumanEval/106,0.2
claude-3-haiku-20240307,caution,HumanEval/107,0.8
claude-3-haiku-20240307,caution,HumanEval/108,0.0
claude-3-haiku-20240307,caution,HumanEval/109,0.7
claude-3-haiku-20240307,caution,HumanEval/11,1.0
claude-3-haiku-20240307,caution,HumanEval/110,0.3
claude-3-haiku-20240307,caution,HumanEval/111,1.0
claude-3-haiku-20240307,caution,HumanEval/112,1.0
claude-3-haiku-20240307,caution,HumanEval/113,0.3
claude-3-haiku-20240307,caution,HumanEval/114,0.9
claude-3-haiku-20240307,caution,HumanEval/115,0.0
claude-3-haiku-20240307,caution,HumanEval/116,0.0
claude-3-haiku-20240307,caution,HumanEval/117,0.4
claude-3-haiku-20240307,caution,HumanEval/118,0.5
claude-3-haiku-20240307,caution,HumanEval/119,0.0
claude-3-haiku-20240307,caution,HumanEval/12,1.0
claude-3-haiku-20240307,caution,HumanEval/120,0.0
claude-3-haiku-20240307,caution,HumanEval/121,0.5
claude-3-haiku-20240307,caution,HumanEval/122,0.0
claude-3-haiku-20240307,caution,HumanEval/123,0.6
claude-3-haiku-20240307,caution,HumanEval/124,0.1
claude-3-haiku-20240307,caution,HumanEval/125,0.0
claude-3-haiku-20240307,caution,HumanEval/126,0.0
claude-3-haiku-20240307,caution,HumanEval/127,0.0
claude-3-haiku-20240307,caution,HumanEval/128,0.5
claude-3-haiku-20240307,caution,HumanEval/129,0.0
claude-3-haiku-20240307,caution,HumanEval/13,1.0
claude-3-haiku-20240307,caution,HumanEval/130,0.0
claude-3-haiku-20240307,caution,HumanEval/131,0.9
claude-3-haiku-20240307,caution,HumanEval/132,0.0
claude-3-haiku-20240307,caution,HumanEval/133,0.0
claude-3-haiku-20240307,caution,HumanEval/134,0.2
claude-3-haiku-20240307,caution,HumanEval/135,0.9
claude-3-haiku-20240307,caution,HumanEval/136,1.0
claude-3-haiku-20240307,caution,HumanEval/137,0.4
claude-3-haiku-20240307,caution,HumanEval/138,0.4
claude-3-haiku-20240307,caution,HumanEval/139,1.0
claude-3-haiku-20240307,caution,HumanEval/14,0.9
claude-3-haiku-20240307,caution,HumanEval/140,0.0
claude-3-haiku-20240307,caution,HumanEval/141,0.1
claude-3-haiku-20240307,caution,HumanEval/142,1.0
claude-3-haiku-20240307,caution,HumanEval/143,0.0
claude-3-haiku-20240307,caution,HumanEval/144,1.0
claude-3-haiku-20240307,caution,HumanEval/145,0.0
claude-3-haiku-20240307,caution,HumanEval/146,0.6
claude-3-haiku-20240307,caution,HumanEval/147,1.0
claude-3-haiku-20240307,caution,HumanEval/148,1.0
claude-3-haiku-20240307,caution,HumanEval/149,1.0
claude-3-haiku-20240307,caution,HumanEval/15,1.0
claude-3-haiku-20240307,caution,HumanEval/150,0.0
claude-3-haiku-20240307,caution,HumanEval/151,1.0
claude-3-haiku-20240307,caution,HumanEval/152,1.0
claude-3-haiku-20240307,caution,HumanEval/153,0.6
claude-3-haiku-20240307,caution,HumanEval/154,1.0
claude-3-haiku-20240307,caution,HumanEval/155,1.0
claude-3-haiku-20240307,caution,HumanEval/156,1.0
claude-3-haiku-20240307,caution,HumanEval/157,0.7
claude-3-haiku-20240307,caution,HumanEval/158,1.0
claude-3-haiku-20240307,caution,HumanEval/159,0.9
claude-3-haiku-20240307,caution,HumanEval/16,0.8
claude-3-haiku-20240307,caution,HumanEval/160,0.0
claude-3-haiku-20240307,caution,HumanEval/161,1.0
claude-3-haiku-20240307,caution,HumanEval/162,0.0
claude-3-haiku-20240307,caution,HumanEval/163,0.0
claude-3-haiku-20240307,caution,HumanEval/17,0.5
claude-3-haiku-20240307,caution,HumanEval/18,0.9
claude-3-haiku-20240307,caution,HumanEval/19,0.9
claude-3-haiku-20240307,caution,HumanEval/2,0.9
claude-3-haiku-20240307,caution,HumanEval/20,1.0
claude-3-haiku-20240307,caution,HumanEval/21,1.0
claude-3-haiku-20240307,caution,HumanEval/22,1.0
claude-3-haiku-20240307,caution,HumanEval/23,1.0
claude-3-haiku-20240307,caution,HumanEval/24,1.0
claude-3-haiku-20240307,caution,HumanEval/25,1.0
claude-3-haiku-20240307,caution,HumanEval/26,0.2
claude-3-haiku-20240307,caution,HumanEval/27,1.0
claude-3-haiku-20240307,caution,HumanEval/28,1.0
claude-3-haiku-20240307,caution,HumanEval/29,0.9
claude-3-haiku-20240307,caution,HumanEval/3,1.0
claude-3-haiku-20240307,caution,HumanEval/30,1.0
claude-3-haiku-20240307,caution,HumanEval/31,1.0
claude-3-haiku-20240307,caution,HumanEval/32,0.0
claude-3-haiku-20240307,caution,HumanEval/33,0.5
claude-3-haiku-20240307,caution,HumanEval/34,1.0
claude-3-haiku-20240307,caution,HumanEval/35,1.0
claude-3-haiku-20240307,caution,HumanEval/36,0.0
claude-3-haiku-20240307,caution,HumanEval/37,1.0
claude-3-haiku-20240307,caution,HumanEval/38,0.4
claude-3-haiku-20240307,caution,HumanEval/39,0.0
