task_id,model,task_pass_rate_neutral,task_pass_rate_speed,drift
HumanEval/0,gpt-3.5-turbo,1.0,0.0,1.0
HumanEval/15,gpt-3.5-turbo,1.0,0.0,1.0
HumanEval/153,gpt-3.5-turbo,1.0,0.0,1.0
HumanEval/38,claude-3-haiku-20240307,1.0,0.0,1.0
HumanEval/131,claude-3-haiku-20240307,1.0,0.0,1.0
HumanEval/42,gpt-3.5-turbo,1.0,0.0,1.0
HumanEval/133,claude-3-haiku-20240307,1.0,0.0,1.0
HumanEval/40,gpt-3.5-turbo,1.0,0.0,1.0
HumanEval/37,claude-3-haiku-20240307,1.0,0.0,1.0
HumanEval/154,gpt-3.5-turbo,1.0,0.0,1.0
HumanEval/38,gpt-3.5-turbo,1.0,0.0,1.0
HumanEval/139,claude-3-haiku-20240307,1.0,0.0,1.0
HumanEval/35,gpt-3.5-turbo,1.0,0.0,1.0
HumanEval/34,gpt-3.5-turbo,1.0,0.0,1.0
HumanEval/141,claude-3-haiku-20240307,1.0,0.0,1.0
HumanEval/143,claude-3-haiku-20240307,1.0,0.0,1.0
HumanEval/27,claude-3-haiku-20240307,1.0,0.0,1.0
HumanEval/157,gpt-3.5-turbo,1.0,0.0,1.0
HumanEval/148,claude-3-haiku-20240307,1.0,0.0,1.0
HumanEval/25,gpt-3.5-turbo,1.0,0.0,1.0
